Name,Diameter,a
(149560) 2003 QZ91,106,41.7
(523672) 2013 FJ28,106,35.3
(119473) 2001 UO18,105,39.5
(29981) 1999 TD10,104,95.1
(434390) 2005 CH81,103,54.8
341520 Mors-Somnus,102,39.2
(118698) 2000 OY51,101,44.1
(469420) 2001 XP254,101,41.9
(500831) 2013 GV136,101,41.4
(500832) 2013 GZ136,101,88.6
(500877) 2013 JE64,101,48.3
(500881) 2013 JM64,101,42.7
(500887) 2013 JO65,101,42.8
(576257) 2012 JD68,101,39.6
(600217) 2011 QY100,101,163
(469442) 2002 GG166,100,34.9
(69986) 1998 WW24,97,39.2
(131697) 2001 XH255,97,34.7
(168700) 2000 GE147,97,39.7
(500833) 2013 GD137,97,39.6
(500882) 2013 JN64,97,53.7
(534631) 2014 UX229,97,39.5
(591376) 2013 NL24,97,40.1
(129746) 1999 CE119,94,39.4
(514312) 2016 AE193,94,30.8
(523720) 2014 LN28,94,36.8
(385185) 1993 RO,93,39.1
(591486) 2013 TA188,93,39.5
(593617) 2015 RN278,93,35
(87555) 2000 QB243,92,35
(581804) 2015 KN167,92,48
(15820) 1994 TB,91,39.4
(468861) 2013 LU28,90,190
(542889) 2013 MY11,88,52.9
(552678) 2010 JG210,83,32
58534 Logos,82,45.1
(143751) 2003 US292,81,42.1
(523734) 2014 QV441,78,31.8
(503858) 1998 HQ151,77,39.8
(528219) 2008 KV42,77,41.7
(601690) 2013 KZ18,77,34
(516977) 2012 HZ84,74,46.3
(471272) 2011 FY9,72,58.5
(523710) 2014 JF80,72,34.3
(558168) 2014 XQ40,72,66.8
(500885) 2013 JL65,70,39.6
(558093) 2014 WW535,70,34.3
(585912) 2020 QK3,68,32.5
(552474) 2010 AW153,67,43.1
(32929) 1995 QY9,66,39.5
(87269) 2000 OO67,64,566
(585913) 2020 QQ7,59,38.6
(591370) 2013 ME14,59,37.6
(523753) 2014 WV508,57,53.5
(543377) 2014 BF70,54,90
(500884) 2013 JK65,53,39.8
(336756) 2010 NV1,52,303
(418993) 2009 MS9,50,386
(523719) 2014 LM28,46,278
(353222) 2009 YD7,45,119
(517717) 2015 KZ120,42,46.9
(523800) 2017 KZ31,38,54.1
(585899) 2020 HM98,37,83.6
(523733) 2014 PR70,36,71.2
(413666) 2005 VJ119,28,35.4
(241097) 2007 DU112,27,40.9
(523798) 2017 CX33,27,73.1
(567065) 2019 CY4,27,46.9
(582301) 2015 RM306,27,247
(523739) 2014 TZ33,24,38.3
(584778) 2017 RG16,24,77.8
(523797) 2016 NM56,23,73.5
486958 Arrokoth,17,44.6
