Name,Diameter,"a
(AU)",e,"i
(°)","q
(AU)","Q
(AU)",Class
(560552) 2015 GO50,234,44.2,0.14,16,38,50.5,cubewano (hot)
(523591) 2001 QD298,233,43,0.06,5,40.4,45.6,cubewano (hot)
(137294) 1999 RE215,232,45.3,0.11,1,40.4,50.2,cubewano (cold)
184314 Mbabamwanawaresa,232,45.5,0.14,6,38.9,52.1,cubewano (hot)
(385362) 2002 PT170,232,46.3,0.14,4,39.8,52.8,cubewano (cold)
(501581) 2014 OB394,232,47,0.26,21,35,59,other TNO
(523717) 2014 KY101,232,39.7,0.2,10,31.6,47.8,plutino
(523718) 2014 KZ101,232,126,0.73,19,33.6,219,SDO
(524216) 2001 RU143,232,39.4,0.15,7,33.4,45.4,plutino
(525258) 2004 VT75,232,39.2,0.21,13,30.8,47.6,plutino
(531015) 2012 BX154,232,73.2,0.49,10,37.3,109,SDO
(548504) 2010 NF146,232,43.2,0.01,3,43,43.4,cubewano (cold)
(597614) 2007 RM314,232,71.9,0.49,21,36.6,107,SDO
(600181) 2011 OC61,232,45.2,0.04,3,43.3,47.2,cubewano (cold)
(308634) 2005 XU100,231,43.2,0.1,8,38.7,47.6,cubewano (hot)
(533508) 2014 HC200,231,65.7,0.43,36,37.3,94.2,SDO
(535993) 2015 BG519,230,38.9,0.03,35,37.6,40.1,other TNO
(553138) 2011 BQ170,230,45.6,0.18,9,37.5,53.8,cubewano (hot)
(469361) 2001 HY65,229,43.2,0.12,17,38.1,48.2,cubewano (hot)
(529940) 2010 TB192,228,54.8,0.32,13,37.1,72.4,SDO
(554102) 2012 KW51,227,47.9,0.24,12,36.3,59.5,twotino
(471151) 2010 FD49,226,55.5,0.42,11,31.9,79,res · 2:5
(533507) 2014 HV199,226,38,0.02,24,37.3,38.6,other TNO
(559800) 2015 DW224,226,109,0.66,31,37.3,180,SDO
(504555) 2008 SO266,225,39.6,0.25,19,29.8,49.4,plutino
(525595) 2005 JP179,225,43,0.03,2,41.9,44.1,cubewano (cold)
(559178) 2015 BM518,225,36.3,0.12,9,31.9,40.8,res · 3:4
(533506) 2014 HU199,224,43.2,0.07,9,40,46.3,cubewano (hot)
65489 Ceto,223,100,0.82,22,17.9,182,centaur
(523756) 2014 WD509,223,43.7,0.05,1,41.7,45.8,cubewano (cold)
(48639) 1995 TL8,222,52.7,0.24,0,40,65.4,other TNO
(149349) 2002 VA131,222,42,0.24,7,32.1,52,res · 3:5
(385194) 1998 KG62,222,43.8,0.05,1,41.8,45.8,cubewano (cold)
(416400) 2003 UZ117,222,44.2,0.13,27,38.4,49.9,Haumea
(471152) 2010 FE49,222,53.8,0.37,12,33.7,73.9,SDO
474640 Alicanto,222,319,0.85,26,47.3,591,EDDO
(495189) 2012 VR113,222,47.9,0.18,19,39.5,56.4,twotino
(523622) 2007 TG422,222,469,0.92,19,35.5,902,ESDO
(523695) 2014 GS53,222,33.5,0.1,15,30.3,36.7,other TNO
(523705) 2014 HE200,222,52.7,0.36,9,33.9,71.5,SDO
(524460) 2002 GF32,222,39.5,0.17,3,32.8,46.2,plutino
(525460) 2005 EX297,222,44.1,0.12,5,39,49.1,cubewano (cold)
(531141) 2012 FK84,222,46.9,0.17,17,38.9,54.8,cubewano (hot)
(533085) 2014 BW64,222,45.6,0.34,16,30.2,60.9,other TNO
(536287) 2015 CL62,222,41.5,0.14,19,35.7,47.3,cubewano (hot)
(576212) 2012 HL85,222,40.6,0.02,17,39.7,41.4,other TNO
(558224) 2014 YC50,221,43.8,0.15,18,37.3,50.3,cubewano (hot)
(119878) 2002 CY224,220,53.4,0.34,16,35.2,71.7,res · 5:12
